task_id	Iot_source	MI	Inputsize	outputsize	Queuing_local	local_processing	total_IoT_response_time	total_IoT_response_energy	edge_up_delay	edge_dw_delay	Queuing_edge	edge_processing	total_edge_time	total_edge_response_energy	edge_up_delay2	edge_dw_delay2	Queuing_edge2	edge_processing2	total_edge_time2	total_edge_response_energy2	edge_up_delay3	edge_dw_delay3	Queuing_edge3	edge_processing3	total_edge_time3	total_edge_response_energy3	edge_up_delay4	edge_dw_delay4	Queuing_edge4	edge_processing4	total_edge_time4	total_edge_response_energy4	cloud_up_delay	cloud_dw_delay	Queuing_cloud	cloud_processing	total_cloud_time	total_cloud_response_energy1	cloud_up_delay2	cloud_dw_delay2	Queuing_cloud2	cloud_processing2	total_cloud_time2	total_cloud_response_energy2
33	1	5212	5574	41	0.0	104.24	104.24	239.75199999999998	8.709375	0.0640625	0.0	1.7373333333333334	10.510770833333334	17.876987500000002	7.917613636363637	0.05823863636363636	0.0	2.0848	10.060652272727273	16.85829409090909	7.343097203504043	0.05512997507084853	0.0	2.606	10.004227178574892	16.28735625	6.7715161020163075	0.05102340455802802	0.0	2.978285714285714	9.80082522086005	15.721779395604395	17.41875	0.128125	0.0	0.43433333333333335	17.981208333333335	32.105575	14.515625	0.10677083333333333	0.0	0.5212	15.143595833333334	26.9457525
34	0	624	52	209	0.0	12.48	12.48	28.703999999999997	0.08125	0.3265625	0.0	0.208	0.6158125	0.9836624999999999	0.07386363636363637	0.296875	0.0	0.2496	0.6203386363636363	0.9668495454545454	0.15299303683737647	0.27387997507084855	0.0	0.312	1.7584042619082252	2.821275	0.1344968712470767	0.25294648148110493	2.978285714285714	0.35657142857142876	3.7223004955853245	0.992549175824176	0.1625	0.653125	0.0	0.052	0.867625	1.530525	0.13541666666666666	0.5442708333333334	0.0	0.0624	0.7420875	1.2983175
35	0	714	1496	214	0.0	14.28	14.28	32.843999999999994	2.3375	0.334375	0.0	0.238	2.909875	5.094975	2.125	0.3039772727272727	0.0	0.2856	2.7145772727272726	4.714879090909091	2.0332013701707097	0.2803903917375152	0.0	0.357	2.6705917619082253	4.4362125	1.8700737943239998	0.2589560968657203	2.978285714285714	0.4079999999999999	5.515315605475434	4.189119230769231	4.675	0.66875	0.0	0.0595	5.40325	9.690150000000001	3.8958333333333335	0.5572916666666666	0.0	0.0714	4.524525	8.101305
36	0	6469	1562	111	0.0	129.38	129.38	297.57399999999996	2.440625	0.1734375	0.0	2.1563333333333334	4.770395833333334	7.2929125	2.21875	0.15767045454545456	0.0	2.5876	4.964020454545455	7.382676818181817	2.1191388701707097	0.14627580840418186	0.0	3.2345	5.499914678574892	7.80249375	1.949400717400923	0.1351580199426434	2.978285714285714	3.696571428571428	8.75941588020071	8.055356868131868	4.88125	0.346875	0.0	0.5390833333333334	5.767208333333333	10.057525	4.067708333333333	0.2890625	0.0	0.6469	18.07398333333333	32.14503
37	0	5853	770	29	0.0	117.06	117.06	269.238	1.203125	0.0453125	0.0	1.951	3.1994375	4.5883875000000005	1.09375	0.041193181818181816	0.0	2.3412	3.4761431818181823	4.852337727272728	1.08788887017071	0.03950497507084853	0.0	2.9265	4.053893845241558	5.3844562499999995	0.9974776404778459	0.0366003276349511	0.0	3.3445714285714288	4.378649396684226	5.742091483516484	2.40625	0.090625	0.0	0.48775	2.9846250000000003	5.079675000000001	2.0052083333333335	0.07552083333333333	0.0	0.5853	2.666029166666667	4.4476725
38	0	11126	3603	231	0.0	222.52	222.52	511.796	5.6296875	0.3609375	0.0	3.708666666666667	9.699291666666667	15.233525000000002	5.1178977272727275	0.328125	0.0	4.4504	9.896422727272729	15.14332090909091	4.776690953504043	0.30252580840418186	0.0	5.563	10.642216761908225	15.6615375	4.4025257174009225	0.27938878917341264	0.0	6.357714285714286	11.039628792288621	15.92396868131868	11.259375	0.721875	0.0	0.9271666666666667	12.908416666666668	22.678850000000004	9.3828125	0.6015625	0.0	1.1126	11.096975	19.306995
39	1	2683	2429	234	0.0	53.66	53.66	123.41799999999998	3.7953125	0.365625	0.0	0.8943333333333333	5.055270833333333	8.5628875	3.450284090909091	0.33238636363636365	0.0	1.0732	4.855870454545455	8.096646818181817	3.2480451201707097	0.30643205840418186	0.0	1.3415	4.895977178574892	7.85120625	2.9914680250932304	0.28299455840418186	0.0	1.5331428571428571	4.80760544064027	7.601069505494506	7.590625	0.73125	0.0	0.22358333333333333	8.545458333333334	15.247675000000001	6.325520833333333	0.609375	0.0	0.2683	7.203195833333333	12.8047725
40	3	10	378	45	0.0	0.2	0.2	0.45999999999999996	0.590625	0.0703125	0.0	0.0033333333333333335	0.6642708333333333	1.1936875	0.5369318181818182	0.06392045454545454	0.0	0.004	0.6048522727272728	1.086334090909091	0.5774722035040432	0.06033830840418187	0.0	0.005	2.295154261908225	3.971625	0.5263237943239998	0.05583109686572033	1.5331428571428571	0.005714285714285783	2.121012034046863	0.9220013736263737	1.18125	0.140625	0.0	8.333333333333334E-4	5.288333333333333	9.5185	0.984375	0.1171875	0.0	0.001	4.40725	7.93245
41	3	299	70	6	0.0	5.98	5.98	13.754	0.109375	0.009375	0.0	0.09966666666666667	0.21841666666666665	0.33335	0.09943181818181818	0.008522727272727272	0.0	0.1196	0.5514181818181818	0.9207927272727272	0.17643053683737647	0.00955705840418187	0.0	0.1495	0.33548759524155836	0.357525	0.15613148663169207	0.008956096865720332	1.5331428571428571	0.17085714285714282	1.8690875834974123	0.36945164835164834	0.21875	0.01875	0.0	0.024916666666666667	0.26241666666666663	0.4574	0.18229166666666666	0.015625	0.0	0.0299	0.22781666666666667	0.39213
42	3	258	1	512	0.0	5.16	5.16	11.867999999999999	0.0015625	0.8	0.0	0.086	0.8875625	1.5460125	0.0014204545454545455	0.7272727272727273	0.0	0.1032	0.8318931818181818	1.4354877272727273	0.08658678683737646	0.6684112250708485	0.0	0.129	0.8839980119082249	1.35714375	0.07319879432399977	0.6171291737887973	1.5331428571428571	0.14742857142857146	2.3708993966842256	1.2867700549450551	0.003125	1.6	0.0	0.0215	1.6246250000000002	2.911425	0.0026041666666666665	1.3333333333333333	0.0	0.0258	1.3617375	2.4356475
